step,hit,hits,misses,evictions,hit_rate,policy,workload
0,False,0,1,0,0.0,ARC,locality
1,False,0,2,0,0.0,ARC,locality
2,False,0,3,0,0.0,ARC,locality
3,False,0,4,0,0.0,ARC,locality
4,False,0,5,0,0.0,ARC,locality
5,False,0,6,0,0.0,ARC,locality
6,False,0,7,0,0.0,ARC,locality
7,True,1,7,0,0.125,ARC,locality
8,True,2,7,0,0.222222,ARC,locality
9,False,2,8,0,0.2,ARC,locality
10,True,3,8,0,0.272727,ARC,locality
11,False,3,9,0,0.25,ARC,locality
12,False,3,10,0,0.230769,ARC,locality
13,False,3,11,0,0.214286,ARC,locality
14,False,3,12,0,0.2,ARC,locality
15,False,3,13,0,0.1875,ARC,locality
16,False,3,14,0,0.176471,ARC,locality
17,False,3,15,0,0.166667,ARC,locality
18,True,4,15,0,0.210526,ARC,locality
19,True,5,15,0,0.25,ARC,locality
20,False,5,16,0,0.238095,ARC,locality
21,False,5,17,0,0.227273,ARC,locality
22,False,5,18,0,0.217391,ARC,locality
23,True,6,18,0,0.25,ARC,locality
24,True,7,18,0,0.28,ARC,locality
25,True,8,18,0,0.307692,ARC,locality
26,False,8,19,0,0.296296,ARC,locality
27,True,9,19,0,0.321429,ARC,locality
28,True,10,19,0,0.344828,ARC,locality
29,True,11,19,0,0.366667,ARC,locality
30,False,11,20,0,0.354839,ARC,locality
31,True,12,20,0,0.375,ARC,locality
32,True,13,20,0,0.393939,ARC,locality
33,True,14,20,0,0.411765,ARC,locality
34,True,15,20,0,0.428571,ARC,locality
35,True,16,20,0,0.444444,ARC,locality
36,True,17,20,0,0.459459,ARC,locality
37,False,17,21,0,0.447368,ARC,locality
38,True,18,21,0,0.461538,ARC,locality
39,False,18,22,0,0.45,ARC,locality
40,True,19,22,0,0.463415,ARC,locality
41,False,19,23,0,0.452381,ARC,locality
42,False,19,24,0,0.44186,ARC,locality
43,False,19,25,0,0.431818,ARC,locality
44,True,20,25,0,0.444444,ARC,locality
45,False,20,26,0,0.434783,ARC,locality
46,True,21,26,0,0.446809,ARC,locality
47,False,21,27,0,0.4375,ARC,locality
48,True,22,27,0,0.44898,ARC,locality
49,True,23,27,0,0.46,ARC,locality
50,False,23,28,0,0.45098,ARC,locality
51,True,24,28,0,0.461538,ARC,locality
52,True,25,28,0,0.471698,ARC,locality
53,True,26,28,0,0.481481,ARC,locality
54,True,27,28,0,0.490909,ARC,locality
55,True,28,28,0,0.5,ARC,locality
56,True,29,28,0,0.508772,ARC,locality
57,True,30,28,0,0.517241,ARC,locality
58,False,30,29,0,0.508475,ARC,locality
59,True,31,29,0,0.516667,ARC,locality
60,True,32,29,0,0.52459,ARC,locality
61,True,33,29,0,0.532258,ARC,locality
62,True,34,29,0,0.539683,ARC,locality
63,True,35,29,0,0.546875,ARC,locality
