step,hit,hits,misses,evictions,hit_rate,policy,workload
0,False,0,1,0,0.0,ARC,looping
1,False,0,2,0,0.0,ARC,looping
2,False,0,3,0,0.0,ARC,looping
3,False,0,4,0,0.0,ARC,looping
4,False,0,5,0,0.0,ARC,looping
5,False,0,6,0,0.0,ARC,looping
6,False,0,7,0,0.0,ARC,looping
7,False,0,8,0,0.0,ARC,looping
8,False,0,9,0,0.0,ARC,looping
9,False,0,10,0,0.0,ARC,looping
10,True,1,10,0,0.090909,ARC,looping
11,True,2,10,0,0.166667,ARC,looping
12,True,3,10,0,0.230769,ARC,looping
13,True,4,10,0,0.285714,ARC,looping
14,True,5,10,0,0.333333,ARC,looping
15,True,6,10,0,0.375,ARC,looping
16,True,7,10,0,0.411765,ARC,looping
17,True,8,10,0,0.444444,ARC,looping
18,True,9,10,0,0.473684,ARC,looping
19,True,10,10,0,0.5,ARC,looping
20,True,11,10,0,0.52381,ARC,looping
21,True,12,10,0,0.545455,ARC,looping
22,True,13,10,0,0.565217,ARC,looping
23,True,14,10,0,0.583333,ARC,looping
24,True,15,10,0,0.6,ARC,looping
25,True,16,10,0,0.615385,ARC,looping
26,True,17,10,0,0.62963,ARC,looping
27,True,18,10,0,0.642857,ARC,looping
28,True,19,10,0,0.655172,ARC,looping
29,True,20,10,0,0.666667,ARC,looping
30,True,21,10,0,0.677419,ARC,looping
31,True,22,10,0,0.6875,ARC,looping
32,True,23,10,0,0.69697,ARC,looping
33,True,24,10,0,0.705882,ARC,looping
34,True,25,10,0,0.714286,ARC,looping
35,True,26,10,0,0.722222,ARC,looping
36,True,27,10,0,0.72973,ARC,looping
37,True,28,10,0,0.736842,ARC,looping
38,True,29,10,0,0.74359,ARC,looping
39,True,30,10,0,0.75,ARC,looping
40,True,31,10,0,0.756098,ARC,looping
41,True,32,10,0,0.761905,ARC,looping
42,True,33,10,0,0.767442,ARC,looping
43,True,34,10,0,0.772727,ARC,looping
44,True,35,10,0,0.777778,ARC,looping
45,True,36,10,0,0.782609,ARC,looping
46,True,37,10,0,0.787234,ARC,looping
47,True,38,10,0,0.791667,ARC,looping
48,True,39,10,0,0.795918,ARC,looping
49,True,40,10,0,0.8,ARC,looping
50,True,41,10,0,0.803922,ARC,looping
51,True,42,10,0,0.807692,ARC,looping
52,True,43,10,0,0.811321,ARC,looping
53,True,44,10,0,0.814815,ARC,looping
54,True,45,10,0,0.818182,ARC,looping
55,True,46,10,0,0.821429,ARC,looping
56,True,47,10,0,0.824561,ARC,looping
57,True,48,10,0,0.827586,ARC,looping
58,True,49,10,0,0.830508,ARC,looping
59,True,50,10,0,0.833333,ARC,looping
60,True,51,10,0,0.836066,ARC,looping
61,True,52,10,0,0.83871,ARC,looping
62,True,53,10,0,0.84127,ARC,looping
63,True,54,10,0,0.84375,ARC,looping
64,True,55,10,0,0.846154,ARC,looping
65,True,56,10,0,0.848485,ARC,looping
66,True,57,10,0,0.850746,ARC,looping
67,True,58,10,0,0.852941,ARC,looping
68,True,59,10,0,0.855072,ARC,looping
69,True,60,10,0,0.857143,ARC,looping
70,True,61,10,0,0.859155,ARC,looping
71,True,62,10,0,0.861111,ARC,looping
72,True,63,10,0,0.863014,ARC,looping
73,True,64,10,0,0.864865,ARC,looping
74,True,65,10,0,0.866667,ARC,looping
75,True,66,10,0,0.868421,ARC,looping
76,True,67,10,0,0.87013,ARC,looping
77,True,68,10,0,0.871795,ARC,looping
78,True,69,10,0,0.873418,ARC,looping
79,True,70,10,0,0.875,ARC,looping
80,True,71,10,0,0.876543,ARC,looping
81,True,72,10,0,0.878049,ARC,looping
82,True,73,10,0,0.879518,ARC,looping
83,True,74,10,0,0.880952,ARC,looping
84,True,75,10,0,0.882353,ARC,looping
85,True,76,10,0,0.883721,ARC,looping
86,True,77,10,0,0.885057,ARC,looping
87,True,78,10,0,0.886364,ARC,looping
88,True,79,10,0,0.88764,ARC,looping
89,True,80,10,0,0.888889,ARC,looping
90,True,81,10,0,0.89011,ARC,looping
91,True,82,10,0,0.891304,ARC,looping
92,True,83,10,0,0.892473,ARC,looping
93,True,84,10,0,0.893617,ARC,looping
94,True,85,10,0,0.894737,ARC,looping
95,True,86,10,0,0.895833,ARC,looping
96,True,87,10,0,0.896907,ARC,looping
97,True,88,10,0,0.897959,ARC,looping
98,True,89,10,0,0.89899,ARC,looping
99,True,90,10,0,0.9,ARC,looping
100,True,91,10,0,0.90099,ARC,looping
101,True,92,10,0,0.901961,ARC,looping
102,True,93,10,0,0.902913,ARC,looping
103,True,94,10,0,0.903846,ARC,looping
104,True,95,10,0,0.904762,ARC,looping
105,True,96,10,0,0.90566,ARC,looping
106,True,97,10,0,0.906542,ARC,looping
107,True,98,10,0,0.907407,ARC,looping
108,True,99,10,0,0.908257,ARC,looping
109,True,100,10,0,0.909091,ARC,looping
110,True,101,10,0,0.90991,ARC,looping
111,True,102,10,0,0.910714,ARC,looping
112,True,103,10,0,0.911504,ARC,looping
113,True,104,10,0,0.912281,ARC,looping
114,True,105,10,0,0.913043,ARC,looping
115,True,106,10,0,0.913793,ARC,looping
116,True,107,10,0,0.91453,ARC,looping
117,True,108,10,0,0.915254,ARC,looping
118,True,109,10,0,0.915966,ARC,looping
119,True,110,10,0,0.916667,ARC,looping
120,True,111,10,0,0.917355,ARC,looping
121,True,112,10,0,0.918033,ARC,looping
122,True,113,10,0,0.918699,ARC,looping
123,True,114,10,0,0.919355,ARC,looping
124,True,115,10,0,0.92,ARC,looping
125,True,116,10,0,0.920635,ARC,looping
126,True,117,10,0,0.92126,ARC,looping
127,True,118,10,0,0.921875,ARC,looping
128,True,119,10,0,0.922481,ARC,looping
129,True,120,10,0,0.923077,ARC,looping
130,True,121,10,0,0.923664,ARC,looping
131,True,122,10,0,0.924242,ARC,looping
132,True,123,10,0,0.924812,ARC,looping
133,True,124,10,0,0.925373,ARC,looping
134,True,125,10,0,0.925926,ARC,looping
135,True,126,10,0,0.926471,ARC,looping
136,True,127,10,0,0.927007,ARC,looping
137,True,128,10,0,0.927536,ARC,looping
138,True,129,10,0,0.928058,ARC,looping
139,True,130,10,0,0.928571,ARC,looping
140,True,131,10,0,0.929078,ARC,looping
141,True,132,10,0,0.929577,ARC,looping
142,True,133,10,0,0.93007,ARC,looping
143,True,134,10,0,0.930556,ARC,looping
144,True,135,10,0,0.931034,ARC,looping
145,True,136,10,0,0.931507,ARC,looping
146,True,137,10,0,0.931973,ARC,looping
147,True,138,10,0,0.932432,ARC,looping
148,True,139,10,0,0.932886,ARC,looping
149,True,140,10,0,0.933333,ARC,looping
150,True,141,10,0,0.933775,ARC,looping
151,True,142,10,0,0.934211,ARC,looping
152,True,143,10,0,0.934641,ARC,looping
153,True,144,10,0,0.935065,ARC,looping
154,True,145,10,0,0.935484,ARC,looping
155,True,146,10,0,0.935897,ARC,looping
156,True,147,10,0,0.936306,ARC,looping
157,True,148,10,0,0.936709,ARC,looping
158,True,149,10,0,0.937107,ARC,looping
159,True,150,10,0,0.9375,ARC,looping
160,True,151,10,0,0.937888,ARC,looping
161,True,152,10,0,0.938272,ARC,looping
162,True,153,10,0,0.93865,ARC,looping
163,True,154,10,0,0.939024,ARC,looping
164,True,155,10,0,0.939394,ARC,looping
165,True,156,10,0,0.939759,ARC,looping
166,True,157,10,0,0.94012,ARC,looping
167,True,158,10,0,0.940476,ARC,looping
168,True,159,10,0,0.940828,ARC,looping
169,True,160,10,0,0.941176,ARC,looping
170,True,161,10,0,0.94152,ARC,looping
171,True,162,10,0,0.94186,ARC,looping
172,True,163,10,0,0.942197,ARC,looping
173,True,164,10,0,0.942529,ARC,looping
174,True,165,10,0,0.942857,ARC,looping
175,True,166,10,0,0.943182,ARC,looping
176,True,167,10,0,0.943503,ARC,looping
177,True,168,10,0,0.94382,ARC,looping
