step,hit,hits,misses,evictions,hit_rate,policy,workload
0,False,0,1,0,0.0,ARC,random
1,False,0,2,0,0.0,ARC,random
2,False,0,3,0,0.0,ARC,random
3,False,0,4,0,0.0,ARC,random
4,False,0,5,0,0.0,ARC,random
5,False,0,6,0,0.0,ARC,random
6,False,0,7,0,0.0,ARC,random
7,False,0,8,0,0.0,ARC,random
8,True,1,8,0,0.111111,ARC,random
9,False,1,9,0,0.1,ARC,random
10,False,1,10,0,0.090909,ARC,random
11,True,2,10,0,0.166667,ARC,random
12,False,2,11,0,0.153846,ARC,random
13,False,2,12,0,0.142857,ARC,random
14,False,2,13,0,0.133333,ARC,random
15,False,2,14,0,0.125,ARC,random
16,False,2,15,0,0.117647,ARC,random
17,True,3,15,0,0.166667,ARC,random
18,True,4,15,0,0.210526,ARC,random
19,False,4,16,0,0.2,ARC,random
20,False,4,17,0,0.190476,ARC,random
21,False,4,18,0,0.181818,ARC,random
22,False,4,19,0,0.173913,ARC,random
23,True,5,19,0,0.208333,ARC,random
24,False,5,20,0,0.2,ARC,random
25,False,5,21,0,0.192308,ARC,random
26,False,5,22,0,0.185185,ARC,random
27,False,5,23,0,0.178571,ARC,random
28,False,5,24,0,0.172414,ARC,random
29,True,6,24,0,0.2,ARC,random
30,False,6,25,0,0.193548,ARC,random
31,True,7,25,0,0.21875,ARC,random
32,False,7,26,0,0.212121,ARC,random
33,True,8,26,0,0.235294,ARC,random
34,True,9,26,0,0.257143,ARC,random
35,False,9,27,0,0.25,ARC,random
36,False,9,28,0,0.243243,ARC,random
37,False,9,29,0,0.236842,ARC,random
38,True,10,29,0,0.25641,ARC,random
39,True,11,29,0,0.275,ARC,random
40,False,11,30,0,0.268293,ARC,random
41,True,12,30,0,0.285714,ARC,random
42,False,12,31,0,0.27907,ARC,random
43,True,13,31,0,0.295455,ARC,random
44,True,14,31,0,0.311111,ARC,random
45,True,15,31,0,0.326087,ARC,random
46,True,16,31,0,0.340426,ARC,random
47,True,17,31,0,0.354167,ARC,random
48,False,17,32,0,0.346939,ARC,random
49,False,17,33,1,0.34,ARC,random
50,False,17,34,2,0.333333,ARC,random
51,False,17,35,3,0.326923,ARC,random
52,True,18,35,3,0.339623,ARC,random
53,False,18,36,4,0.333333,ARC,random
54,False,18,37,5,0.327273,ARC,random
55,False,18,38,6,0.321429,ARC,random
56,False,18,39,7,0.315789,ARC,random
57,False,18,40,8,0.310345,ARC,random
58,False,18,41,9,0.305085,ARC,random
59,True,19,41,9,0.316667,ARC,random
60,False,19,42,10,0.311475,ARC,random
61,False,19,43,11,0.306452,ARC,random
62,False,19,44,12,0.301587,ARC,random
63,False,19,45,13,0.296875,ARC,random
64,False,19,46,14,0.292308,ARC,random
65,False,19,47,15,0.287879,ARC,random
