step,hit,hits,misses,evictions,hit_rate,policy,workload
0,False,0,1,0,0.0,Clock,random
1,False,0,2,0,0.0,Clock,random
2,False,0,3,0,0.0,Clock,random
3,False,0,4,0,0.0,Clock,random
4,False,0,5,0,0.0,Clock,random
5,False,0,6,0,0.0,Clock,random
6,False,0,7,0,0.0,Clock,random
7,False,0,8,0,0.0,Clock,random
8,True,1,8,0,0.111111,Clock,random
9,False,1,9,0,0.1,Clock,random
10,False,1,10,0,0.090909,Clock,random
11,True,2,10,0,0.166667,Clock,random
12,False,2,11,0,0.153846,Clock,random
13,False,2,12,0,0.142857,Clock,random
14,False,2,13,0,0.133333,Clock,random
15,False,2,14,0,0.125,Clock,random
16,False,2,15,0,0.117647,Clock,random
17,True,3,15,0,0.166667,Clock,random
18,True,4,15,0,0.210526,Clock,random
19,False,4,16,0,0.2,Clock,random
20,False,4,17,0,0.190476,Clock,random
21,False,4,18,0,0.181818,Clock,random
22,False,4,19,0,0.173913,Clock,random
23,True,5,19,0,0.208333,Clock,random
24,False,5,20,0,0.2,Clock,random
25,False,5,21,0,0.192308,Clock,random
26,False,5,22,0,0.185185,Clock,random
27,False,5,23,0,0.178571,Clock,random
28,False,5,24,0,0.172414,Clock,random
29,True,6,24,0,0.2,Clock,random
30,False,6,25,0,0.193548,Clock,random
31,True,7,25,0,0.21875,Clock,random
32,False,7,26,0,0.212121,Clock,random
33,True,8,26,0,0.235294,Clock,random
34,True,9,26,0,0.257143,Clock,random
35,False,9,27,0,0.25,Clock,random
36,False,9,28,0,0.243243,Clock,random
37,False,9,29,0,0.236842,Clock,random
38,True,10,29,0,0.25641,Clock,random
39,True,11,29,0,0.275,Clock,random
40,False,11,30,0,0.268293,Clock,random
41,True,12,30,0,0.285714,Clock,random
42,False,12,31,0,0.27907,Clock,random
43,True,13,31,0,0.295455,Clock,random
44,True,14,31,0,0.311111,Clock,random
45,True,15,31,0,0.326087,Clock,random
46,True,16,31,0,0.340426,Clock,random
47,True,17,31,0,0.354167,Clock,random
48,False,17,32,0,0.346939,Clock,random
49,False,17,33,1,0.34,Clock,random
50,False,17,34,2,0.333333,Clock,random
51,False,17,35,3,0.326923,Clock,random
52,True,18,35,3,0.339623,Clock,random
53,False,18,36,4,0.333333,Clock,random
54,False,18,37,5,0.327273,Clock,random
55,False,18,38,6,0.321429,Clock,random
56,False,18,39,7,0.315789,Clock,random
57,False,18,40,8,0.310345,Clock,random
58,False,18,41,9,0.305085,Clock,random
59,True,19,41,9,0.316667,Clock,random
60,False,19,42,10,0.311475,Clock,random
61,False,19,43,11,0.306452,Clock,random
62,False,19,44,12,0.301587,Clock,random
63,False,19,45,13,0.296875,Clock,random
64,False,19,46,14,0.292308,Clock,random
65,False,19,47,15,0.287879,Clock,random
66,False,19,48,16,0.283582,Clock,random
67,False,19,49,17,0.279412,Clock,random
68,False,19,50,18,0.275362,Clock,random
69,False,19,51,19,0.271429,Clock,random
70,True,20,51,19,0.28169,Clock,random
71,False,20,52,20,0.277778,Clock,random
72,False,20,53,21,0.273973,Clock,random
73,False,20,54,22,0.27027,Clock,random
74,True,21,54,22,0.28,Clock,random
75,True,22,54,22,0.289474,Clock,random
76,True,23,54,22,0.298701,Clock,random
77,True,24,54,22,0.307692,Clock,random
78,True,25,54,22,0.316456,Clock,random
