step,hit,hits,misses,evictions,hit_rate,policy,workload
0,False,0,1,0,0.0,FIFO,sample_workload
1,False,0,2,0,0.0,FIFO,sample_workload
2,False,0,3,0,0.0,FIFO,sample_workload
3,True,1,3,0,0.25,FIFO,sample_workload
4,True,2,3,0,0.4,FIFO,sample_workload
5,False,2,4,1,0.333333,FIFO,sample_workload
6,False,2,5,2,0.285714,FIFO,sample_workload
7,False,2,6,3,0.25,FIFO,sample_workload
8,False,2,7,4,0.222222,FIFO,sample_workload
9,True,3,7,4,0.3,FIFO,sample_workload
10,True,4,7,4,0.363636,FIFO,sample_workload
11,False,4,8,5,0.333333,FIFO,sample_workload
12,False,4,9,6,0.307692,FIFO,sample_workload
13,True,5,9,6,0.357143,FIFO,sample_workload
