step,hit,hits,misses,evictions,hit_rate,policy,workload
0,False,0,1,0,0.0,FIFO,locality
1,False,0,2,0,0.0,FIFO,locality
2,False,0,3,0,0.0,FIFO,locality
3,False,0,4,0,0.0,FIFO,locality
4,False,0,5,0,0.0,FIFO,locality
5,False,0,6,0,0.0,FIFO,locality
6,False,0,7,0,0.0,FIFO,locality
7,True,1,7,0,0.125,FIFO,locality
8,True,2,7,0,0.222222,FIFO,locality
9,False,2,8,0,0.2,FIFO,locality
10,True,3,8,0,0.272727,FIFO,locality
11,False,3,9,0,0.25,FIFO,locality
12,False,3,10,0,0.230769,FIFO,locality
13,False,3,11,0,0.214286,FIFO,locality
14,False,3,12,0,0.2,FIFO,locality
15,False,3,13,0,0.1875,FIFO,locality
16,False,3,14,0,0.176471,FIFO,locality
17,False,3,15,0,0.166667,FIFO,locality
18,True,4,15,0,0.210526,FIFO,locality
19,True,5,15,0,0.25,FIFO,locality
20,False,5,16,0,0.238095,FIFO,locality
21,False,5,17,0,0.227273,FIFO,locality
22,False,5,18,0,0.217391,FIFO,locality
23,True,6,18,0,0.25,FIFO,locality
24,True,7,18,0,0.28,FIFO,locality
25,True,8,18,0,0.307692,FIFO,locality
26,False,8,19,0,0.296296,FIFO,locality
27,True,9,19,0,0.321429,FIFO,locality
28,True,10,19,0,0.344828,FIFO,locality
29,True,11,19,0,0.366667,FIFO,locality
30,False,11,20,0,0.354839,FIFO,locality
31,True,12,20,0,0.375,FIFO,locality
32,True,13,20,0,0.393939,FIFO,locality
33,True,14,20,0,0.411765,FIFO,locality
34,True,15,20,0,0.428571,FIFO,locality
35,True,16,20,0,0.444444,FIFO,locality
36,True,17,20,0,0.459459,FIFO,locality
37,False,17,21,0,0.447368,FIFO,locality
38,True,18,21,0,0.461538,FIFO,locality
39,False,18,22,0,0.45,FIFO,locality
40,True,19,22,0,0.463415,FIFO,locality
41,False,19,23,0,0.452381,FIFO,locality
42,False,19,24,0,0.44186,FIFO,locality
43,False,19,25,0,0.431818,FIFO,locality
44,True,20,25,0,0.444444,FIFO,locality
45,False,20,26,0,0.434783,FIFO,locality
46,True,21,26,0,0.446809,FIFO,locality
47,False,21,27,0,0.4375,FIFO,locality
48,True,22,27,0,0.44898,FIFO,locality
49,True,23,27,0,0.46,FIFO,locality
50,False,23,28,0,0.45098,FIFO,locality
51,True,24,28,0,0.461538,FIFO,locality
52,True,25,28,0,0.471698,FIFO,locality
53,True,26,28,0,0.481481,FIFO,locality
54,True,27,28,0,0.490909,FIFO,locality
55,True,28,28,0,0.5,FIFO,locality
56,True,29,28,0,0.508772,FIFO,locality
57,True,30,28,0,0.517241,FIFO,locality
58,False,30,29,0,0.508475,FIFO,locality
59,True,31,29,0,0.516667,FIFO,locality
60,True,32,29,0,0.52459,FIFO,locality
61,True,33,29,0,0.532258,FIFO,locality
62,True,34,29,0,0.539683,FIFO,locality
63,True,35,29,0,0.546875,FIFO,locality
64,False,35,30,0,0.538462,FIFO,locality
65,False,35,31,0,0.530303,FIFO,locality
66,True,36,31,0,0.537313,FIFO,locality
67,False,36,32,0,0.529412,FIFO,locality
68,False,36,33,1,0.521739,FIFO,locality
69,True,37,33,1,0.528571,FIFO,locality
70,True,38,33,1,0.535211,FIFO,locality
71,True,39,33,1,0.541667,FIFO,locality
72,False,39,34,2,0.534247,FIFO,locality
73,False,39,35,3,0.527027,FIFO,locality
74,True,40,35,3,0.533333,FIFO,locality
75,False,40,36,4,0.526316,FIFO,locality
76,False,40,37,5,0.519481,FIFO,locality
77,False,40,38,6,0.512821,FIFO,locality
78,True,41,38,6,0.518987,FIFO,locality
79,False,41,39,7,0.5125,FIFO,locality
80,True,42,39,7,0.518519,FIFO,locality
81,False,42,40,8,0.512195,FIFO,locality
82,False,42,41,9,0.506024,FIFO,locality
83,False,42,42,10,0.5,FIFO,locality
84,False,42,43,11,0.494118,FIFO,locality
85,False,42,44,12,0.488372,FIFO,locality
86,True,43,44,12,0.494253,FIFO,locality
87,False,43,45,13,0.488636,FIFO,locality
88,True,44,45,13,0.494382,FIFO,locality
89,True,45,45,13,0.5,FIFO,locality
90,False,45,46,14,0.494505,FIFO,locality
91,True,46,46,14,0.5,FIFO,locality
92,True,47,46,14,0.505376,FIFO,locality
93,True,48,46,14,0.510638,FIFO,locality
94,True,49,46,14,0.515789,FIFO,locality
95,False,49,47,15,0.510417,FIFO,locality
96,True,50,47,15,0.515464,FIFO,locality
97,True,51,47,15,0.520408,FIFO,locality
98,True,52,47,15,0.525253,FIFO,locality
99,True,53,47,15,0.53,FIFO,locality
100,False,53,48,16,0.524752,FIFO,locality
101,False,53,49,17,0.519608,FIFO,locality
102,False,53,50,18,0.514563,FIFO,locality
103,False,53,51,19,0.509615,FIFO,locality
104,False,53,52,20,0.504762,FIFO,locality
105,True,54,52,20,0.509434,FIFO,locality
106,True,55,52,20,0.514019,FIFO,locality
107,False,55,53,21,0.509259,FIFO,locality
108,True,56,53,21,0.513761,FIFO,locality
109,True,57,53,21,0.518182,FIFO,locality
110,False,57,54,22,0.513514,FIFO,locality
111,False,57,55,23,0.508929,FIFO,locality
112,True,58,55,23,0.513274,FIFO,locality
113,True,59,55,23,0.517544,FIFO,locality
114,False,59,56,24,0.513043,FIFO,locality
115,False,59,57,25,0.508621,FIFO,locality
116,False,59,58,26,0.504274,FIFO,locality
117,False,59,59,27,0.5,FIFO,locality
118,False,59,60,28,0.495798,FIFO,locality
119,True,60,60,28,0.5,FIFO,locality
120,True,61,60,28,0.504132,FIFO,locality
121,True,62,60,28,0.508197,FIFO,locality
122,True,63,60,28,0.512195,FIFO,locality
123,False,63,61,29,0.508065,FIFO,locality
124,False,63,62,30,0.504,FIFO,locality
125,True,64,62,30,0.507937,FIFO,locality
126,True,65,62,30,0.511811,FIFO,locality
127,False,65,63,31,0.507812,FIFO,locality
128,True,66,63,31,0.511628,FIFO,locality
129,True,67,63,31,0.515385,FIFO,locality
130,False,67,64,32,0.51145,FIFO,locality
131,True,68,64,32,0.515152,FIFO,locality
132,True,69,64,32,0.518797,FIFO,locality
133,True,70,64,32,0.522388,FIFO,locality
134,False,70,65,33,0.518519,FIFO,locality
135,True,71,65,33,0.522059,FIFO,locality
136,True,72,65,33,0.525547,FIFO,locality
137,True,73,65,33,0.528986,FIFO,locality
138,False,73,66,34,0.52518,FIFO,locality
139,True,74,66,34,0.528571,FIFO,locality
140,True,75,66,34,0.531915,FIFO,locality
141,True,76,66,34,0.535211,FIFO,locality
142,True,77,66,34,0.538462,FIFO,locality
143,True,78,66,34,0.541667,FIFO,locality
144,False,78,67,35,0.537931,FIFO,locality
145,True,79,67,35,0.541096,FIFO,locality
146,False,79,68,36,0.537415,FIFO,locality
147,False,79,69,37,0.533784,FIFO,locality
148,True,80,69,37,0.536913,FIFO,locality
149,True,81,69,37,0.54,FIFO,locality
150,False,81,70,38,0.536424,FIFO,locality
151,True,82,70,38,0.539474,FIFO,locality
152,True,83,70,38,0.542484,FIFO,locality
153,True,84,70,38,0.545455,FIFO,locality
154,False,84,71,39,0.541935,FIFO,locality
155,True,85,71,39,0.544872,FIFO,locality
156,True,86,71,39,0.547771,FIFO,locality
157,True,87,71,39,0.550633,FIFO,locality
158,True,88,71,39,0.553459,FIFO,locality
159,True,89,71,39,0.55625,FIFO,locality
160,True,90,71,39,0.559006,FIFO,locality
161,True,91,71,39,0.561728,FIFO,locality
162,True,92,71,39,0.564417,FIFO,locality
163,False,92,72,40,0.560976,FIFO,locality
164,True,93,72,40,0.563636,FIFO,locality
165,True,94,72,40,0.566265,FIFO,locality
166,True,95,72,40,0.568862,FIFO,locality
167,True,96,72,40,0.571429,FIFO,locality
168,True,97,72,40,0.573964,FIFO,locality
169,True,98,72,40,0.576471,FIFO,locality
170,True,99,72,40,0.578947,FIFO,locality
171,True,100,72,40,0.581395,FIFO,locality
172,True,101,72,40,0.583815,FIFO,locality
173,True,102,72,40,0.586207,FIFO,locality
174,True,103,72,40,0.588571,FIFO,locality
175,True,104,72,40,0.590909,FIFO,locality
176,False,104,73,41,0.587571,FIFO,locality
177,False,104,74,42,0.58427,FIFO,locality
178,False,104,75,43,0.581006,FIFO,locality
179,True,105,75,43,0.583333,FIFO,locality
180,False,105,76,44,0.58011,FIFO,locality
181,False,105,77,45,0.576923,FIFO,locality
182,True,106,77,45,0.579235,FIFO,locality
183,True,107,77,45,0.581522,FIFO,locality
184,False,107,78,46,0.578378,FIFO,locality
185,True,108,78,46,0.580645,FIFO,locality
186,True,109,78,46,0.582888,FIFO,locality
187,False,109,79,47,0.579787,FIFO,locality
188,True,110,79,47,0.582011,FIFO,locality
189,False,110,80,48,0.578947,FIFO,locality
190,False,110,81,49,0.575916,FIFO,locality
191,True,111,81,49,0.578125,FIFO,locality
192,False,111,82,50,0.57513,FIFO,locality
193,False,111,83,51,0.572165,FIFO,locality
194,True,112,83,51,0.574359,FIFO,locality
195,False,112,84,52,0.571429,FIFO,locality
196,True,113,84,52,0.573604,FIFO,locality
197,True,114,84,52,0.575758,FIFO,locality
198,True,115,84,52,0.577889,FIFO,locality
199,False,115,85,53,0.575,FIFO,locality
200,True,116,85,53,0.577114,FIFO,locality
201,True,117,85,53,0.579208,FIFO,locality
202,True,118,85,53,0.581281,FIFO,locality
203,True,119,85,53,0.583333,FIFO,locality
204,True,120,85,53,0.585366,FIFO,locality
205,True,121,85,53,0.587379,FIFO,locality
206,True,122,85,53,0.589372,FIFO,locality
207,False,122,86,54,0.586538,FIFO,locality
208,False,122,87,55,0.583732,FIFO,locality
209,True,123,87,55,0.585714,FIFO,locality
210,False,123,88,56,0.582938,FIFO,locality
211,True,124,88,56,0.584906,FIFO,locality
212,True,125,88,56,0.586854,FIFO,locality
213,True,126,88,56,0.588785,FIFO,locality
214,True,127,88,56,0.590698,FIFO,locality
215,True,128,88,56,0.592593,FIFO,locality
216,True,129,88,56,0.59447,FIFO,locality
217,True,130,88,56,0.59633,FIFO,locality
218,True,131,88,56,0.598174,FIFO,locality
219,True,132,88,56,0.6,FIFO,locality
220,False,132,89,57,0.597285,FIFO,locality
221,True,133,89,57,0.599099,FIFO,locality
222,True,134,89,57,0.600897,FIFO,locality
223,True,135,89,57,0.602679,FIFO,locality
224,True,136,89,57,0.604444,FIFO,locality
225,True,137,89,57,0.606195,FIFO,locality
226,True,138,89,57,0.60793,FIFO,locality
227,False,138,90,58,0.605263,FIFO,locality
228,True,139,90,58,0.606987,FIFO,locality
229,False,139,91,59,0.604348,FIFO,locality
230,False,139,92,60,0.601732,FIFO,locality
231,True,140,92,60,0.603448,FIFO,locality
232,False,140,93,61,0.600858,FIFO,locality
233,True,141,93,61,0.602564,FIFO,locality
234,True,142,93,61,0.604255,FIFO,locality
235,False,142,94,62,0.601695,FIFO,locality
236,True,143,94,62,0.603376,FIFO,locality
237,True,144,94,62,0.605042,FIFO,locality
238,True,145,94,62,0.606695,FIFO,locality
239,True,146,94,62,0.608333,FIFO,locality
240,True,147,94,62,0.609959,FIFO,locality
241,True,148,94,62,0.61157,FIFO,locality
242,True,149,94,62,0.613169,FIFO,locality
243,True,150,94,62,0.614754,FIFO,locality
244,True,151,94,62,0.616327,FIFO,locality
245,True,152,94,62,0.617886,FIFO,locality
246,False,152,95,63,0.615385,FIFO,locality
247,True,153,95,63,0.616935,FIFO,locality
248,True,154,95,63,0.618474,FIFO,locality
249,True,155,95,63,0.62,FIFO,locality
250,True,156,95,63,0.621514,FIFO,locality
251,False,156,96,64,0.619048,FIFO,locality
252,True,157,96,64,0.620553,FIFO,locality
253,True,158,96,64,0.622047,FIFO,locality
254,False,158,97,65,0.619608,FIFO,locality
255,True,159,97,65,0.621094,FIFO,locality
256,True,160,97,65,0.622568,FIFO,locality
257,True,161,97,65,0.624031,FIFO,locality
258,True,162,97,65,0.625483,FIFO,locality
259,True,163,97,65,0.626923,FIFO,locality
260,True,164,97,65,0.628352,FIFO,locality
261,False,164,98,66,0.625954,FIFO,locality
262,False,164,99,67,0.623574,FIFO,locality
263,False,164,100,68,0.621212,FIFO,locality
264,True,165,100,68,0.622642,FIFO,locality
265,True,166,100,68,0.62406,FIFO,locality
266,True,167,100,68,0.625468,FIFO,locality
267,True,168,100,68,0.626866,FIFO,locality
268,True,169,100,68,0.628253,FIFO,locality
269,False,169,101,69,0.625926,FIFO,locality
270,True,170,101,69,0.627306,FIFO,locality
271,True,171,101,69,0.628676,FIFO,locality
272,True,172,101,69,0.630037,FIFO,locality
273,False,172,102,70,0.627737,FIFO,locality
274,True,173,102,70,0.629091,FIFO,locality
275,True,174,102,70,0.630435,FIFO,locality
276,True,175,102,70,0.631769,FIFO,locality
277,True,176,102,70,0.633094,FIFO,locality
278,True,177,102,70,0.634409,FIFO,locality
279,True,178,102,70,0.635714,FIFO,locality
280,True,179,102,70,0.637011,FIFO,locality
281,True,180,102,70,0.638298,FIFO,locality
282,True,181,102,70,0.639576,FIFO,locality
283,True,182,102,70,0.640845,FIFO,locality
284,True,183,102,70,0.642105,FIFO,locality
285,False,183,103,71,0.63986,FIFO,locality
286,True,184,103,71,0.641115,FIFO,locality
287,False,184,104,72,0.638889,FIFO,locality
288,True,185,104,72,0.640138,FIFO,locality
289,True,186,104,72,0.641379,FIFO,locality
290,True,187,104,72,0.642612,FIFO,locality
291,True,188,104,72,0.643836,FIFO,locality
292,True,189,104,72,0.645051,FIFO,locality
293,True,190,104,72,0.646259,FIFO,locality
294,False,190,105,73,0.644068,FIFO,locality
295,True,191,105,73,0.64527,FIFO,locality
296,True,192,105,73,0.646465,FIFO,locality
297,True,193,105,73,0.647651,FIFO,locality
298,False,193,106,74,0.645485,FIFO,locality
