step,hit,hits,misses,evictions,hit_rate,policy,workload
0,False,0,1,0,0.0,FIFO,looping
1,False,0,2,0,0.0,FIFO,looping
2,False,0,3,0,0.0,FIFO,looping
3,False,0,4,0,0.0,FIFO,looping
4,False,0,5,0,0.0,FIFO,looping
5,False,0,6,0,0.0,FIFO,looping
6,False,0,7,0,0.0,FIFO,looping
7,False,0,8,0,0.0,FIFO,looping
8,False,0,9,0,0.0,FIFO,looping
9,False,0,10,0,0.0,FIFO,looping
10,True,1,10,0,0.090909,FIFO,looping
11,True,2,10,0,0.166667,FIFO,looping
12,True,3,10,0,0.230769,FIFO,looping
13,True,4,10,0,0.285714,FIFO,looping
14,True,5,10,0,0.333333,FIFO,looping
15,True,6,10,0,0.375,FIFO,looping
16,True,7,10,0,0.411765,FIFO,looping
17,True,8,10,0,0.444444,FIFO,looping
18,True,9,10,0,0.473684,FIFO,looping
19,True,10,10,0,0.5,FIFO,looping
20,True,11,10,0,0.52381,FIFO,looping
21,True,12,10,0,0.545455,FIFO,looping
22,True,13,10,0,0.565217,FIFO,looping
23,True,14,10,0,0.583333,FIFO,looping
24,True,15,10,0,0.6,FIFO,looping
25,True,16,10,0,0.615385,FIFO,looping
26,True,17,10,0,0.62963,FIFO,looping
27,True,18,10,0,0.642857,FIFO,looping
28,True,19,10,0,0.655172,FIFO,looping
29,True,20,10,0,0.666667,FIFO,looping
30,True,21,10,0,0.677419,FIFO,looping
31,True,22,10,0,0.6875,FIFO,looping
32,True,23,10,0,0.69697,FIFO,looping
33,True,24,10,0,0.705882,FIFO,looping
34,True,25,10,0,0.714286,FIFO,looping
35,True,26,10,0,0.722222,FIFO,looping
36,True,27,10,0,0.72973,FIFO,looping
37,True,28,10,0,0.736842,FIFO,looping
38,True,29,10,0,0.74359,FIFO,looping
39,True,30,10,0,0.75,FIFO,looping
40,True,31,10,0,0.756098,FIFO,looping
41,True,32,10,0,0.761905,FIFO,looping
42,True,33,10,0,0.767442,FIFO,looping
43,True,34,10,0,0.772727,FIFO,looping
44,True,35,10,0,0.777778,FIFO,looping
45,True,36,10,0,0.782609,FIFO,looping
46,True,37,10,0,0.787234,FIFO,looping
47,True,38,10,0,0.791667,FIFO,looping
48,True,39,10,0,0.795918,FIFO,looping
49,True,40,10,0,0.8,FIFO,looping
50,True,41,10,0,0.803922,FIFO,looping
51,True,42,10,0,0.807692,FIFO,looping
52,True,43,10,0,0.811321,FIFO,looping
53,True,44,10,0,0.814815,FIFO,looping
54,True,45,10,0,0.818182,FIFO,looping
55,True,46,10,0,0.821429,FIFO,looping
56,True,47,10,0,0.824561,FIFO,looping
57,True,48,10,0,0.827586,FIFO,looping
58,True,49,10,0,0.830508,FIFO,looping
59,True,50,10,0,0.833333,FIFO,looping
60,True,51,10,0,0.836066,FIFO,looping
61,True,52,10,0,0.83871,FIFO,looping
62,True,53,10,0,0.84127,FIFO,looping
63,True,54,10,0,0.84375,FIFO,looping
64,True,55,10,0,0.846154,FIFO,looping
65,True,56,10,0,0.848485,FIFO,looping
66,True,57,10,0,0.850746,FIFO,looping
67,True,58,10,0,0.852941,FIFO,looping
68,True,59,10,0,0.855072,FIFO,looping
69,True,60,10,0,0.857143,FIFO,looping
70,True,61,10,0,0.859155,FIFO,looping
71,True,62,10,0,0.861111,FIFO,looping
72,True,63,10,0,0.863014,FIFO,looping
73,True,64,10,0,0.864865,FIFO,looping
74,True,65,10,0,0.866667,FIFO,looping
75,True,66,10,0,0.868421,FIFO,looping
76,True,67,10,0,0.87013,FIFO,looping
77,True,68,10,0,0.871795,FIFO,looping
78,True,69,10,0,0.873418,FIFO,looping
