step,hit,hits,misses,evictions,hit_rate,policy,workload
0,False,0,1,0,0.0,FIFO,random
1,False,0,2,0,0.0,FIFO,random
2,False,0,3,0,0.0,FIFO,random
3,False,0,4,0,0.0,FIFO,random
4,False,0,5,0,0.0,FIFO,random
5,False,0,6,0,0.0,FIFO,random
6,False,0,7,0,0.0,FIFO,random
7,False,0,8,0,0.0,FIFO,random
8,True,1,8,0,0.111111,FIFO,random
9,False,1,9,0,0.1,FIFO,random
10,False,1,10,0,0.090909,FIFO,random
11,True,2,10,0,0.166667,FIFO,random
12,False,2,11,0,0.153846,FIFO,random
13,False,2,12,0,0.142857,FIFO,random
14,False,2,13,0,0.133333,FIFO,random
15,False,2,14,0,0.125,FIFO,random
16,False,2,15,0,0.117647,FIFO,random
17,True,3,15,0,0.166667,FIFO,random
18,True,4,15,0,0.210526,FIFO,random
19,False,4,16,0,0.2,FIFO,random
20,False,4,17,0,0.190476,FIFO,random
21,False,4,18,0,0.181818,FIFO,random
22,False,4,19,0,0.173913,FIFO,random
23,True,5,19,0,0.208333,FIFO,random
24,False,5,20,0,0.2,FIFO,random
25,False,5,21,0,0.192308,FIFO,random
26,False,5,22,0,0.185185,FIFO,random
27,False,5,23,0,0.178571,FIFO,random
28,False,5,24,0,0.172414,FIFO,random
29,True,6,24,0,0.2,FIFO,random
30,False,6,25,0,0.193548,FIFO,random
31,True,7,25,0,0.21875,FIFO,random
32,False,7,26,0,0.212121,FIFO,random
33,True,8,26,0,0.235294,FIFO,random
34,True,9,26,0,0.257143,FIFO,random
35,False,9,27,0,0.25,FIFO,random
36,False,9,28,0,0.243243,FIFO,random
37,False,9,29,0,0.236842,FIFO,random
38,True,10,29,0,0.25641,FIFO,random
39,True,11,29,0,0.275,FIFO,random
40,False,11,30,0,0.268293,FIFO,random
41,True,12,30,0,0.285714,FIFO,random
42,False,12,31,0,0.27907,FIFO,random
43,True,13,31,0,0.295455,FIFO,random
44,True,14,31,0,0.311111,FIFO,random
45,True,15,31,0,0.326087,FIFO,random
46,True,16,31,0,0.340426,FIFO,random
47,True,17,31,0,0.354167,FIFO,random
48,False,17,32,0,0.346939,FIFO,random
49,False,17,33,1,0.34,FIFO,random
50,False,17,34,2,0.333333,FIFO,random
51,False,17,35,3,0.326923,FIFO,random
52,True,18,35,3,0.339623,FIFO,random
53,False,18,36,4,0.333333,FIFO,random
54,False,18,37,5,0.327273,FIFO,random
55,False,18,38,6,0.321429,FIFO,random
56,False,18,39,7,0.315789,FIFO,random
57,False,18,40,8,0.310345,FIFO,random
58,False,18,41,9,0.305085,FIFO,random
59,True,19,41,9,0.316667,FIFO,random
60,False,19,42,10,0.311475,FIFO,random
61,False,19,43,11,0.306452,FIFO,random
62,False,19,44,12,0.301587,FIFO,random
63,False,19,45,13,0.296875,FIFO,random
64,False,19,46,14,0.292308,FIFO,random
65,False,19,47,15,0.287879,FIFO,random
66,False,19,48,16,0.283582,FIFO,random
67,False,19,49,17,0.279412,FIFO,random
68,False,19,50,18,0.275362,FIFO,random
69,False,19,51,19,0.271429,FIFO,random
70,True,20,51,19,0.28169,FIFO,random
71,False,20,52,20,0.277778,FIFO,random
72,False,20,53,21,0.273973,FIFO,random
73,False,20,54,22,0.27027,FIFO,random
74,True,21,54,22,0.28,FIFO,random
