step,hit,hits,misses,evictions,hit_rate,policy,workload
0,False,0,1,0,0.0,LRU,looping
1,False,0,2,0,0.0,LRU,looping
2,False,0,3,0,0.0,LRU,looping
3,False,0,4,0,0.0,LRU,looping
4,False,0,5,0,0.0,LRU,looping
5,False,0,6,0,0.0,LRU,looping
6,False,0,7,0,0.0,LRU,looping
7,False,0,8,0,0.0,LRU,looping
8,False,0,9,0,0.0,LRU,looping
9,False,0,10,0,0.0,LRU,looping
10,True,1,10,0,0.090909,LRU,looping
11,True,2,10,0,0.166667,LRU,looping
12,True,3,10,0,0.230769,LRU,looping
13,True,4,10,0,0.285714,LRU,looping
14,True,5,10,0,0.333333,LRU,looping
15,True,6,10,0,0.375,LRU,looping
16,True,7,10,0,0.411765,LRU,looping
17,True,8,10,0,0.444444,LRU,looping
18,True,9,10,0,0.473684,LRU,looping
19,True,10,10,0,0.5,LRU,looping
20,True,11,10,0,0.52381,LRU,looping
21,True,12,10,0,0.545455,LRU,looping
22,True,13,10,0,0.565217,LRU,looping
23,True,14,10,0,0.583333,LRU,looping
24,True,15,10,0,0.6,LRU,looping
25,True,16,10,0,0.615385,LRU,looping
26,True,17,10,0,0.62963,LRU,looping
27,True,18,10,0,0.642857,LRU,looping
28,True,19,10,0,0.655172,LRU,looping
29,True,20,10,0,0.666667,LRU,looping
30,True,21,10,0,0.677419,LRU,looping
31,True,22,10,0,0.6875,LRU,looping
32,True,23,10,0,0.69697,LRU,looping
33,True,24,10,0,0.705882,LRU,looping
34,True,25,10,0,0.714286,LRU,looping
35,True,26,10,0,0.722222,LRU,looping
36,True,27,10,0,0.72973,LRU,looping
37,True,28,10,0,0.736842,LRU,looping
38,True,29,10,0,0.74359,LRU,looping
39,True,30,10,0,0.75,LRU,looping
40,True,31,10,0,0.756098,LRU,looping
41,True,32,10,0,0.761905,LRU,looping
42,True,33,10,0,0.767442,LRU,looping
43,True,34,10,0,0.772727,LRU,looping
44,True,35,10,0,0.777778,LRU,looping
45,True,36,10,0,0.782609,LRU,looping
46,True,37,10,0,0.787234,LRU,looping
47,True,38,10,0,0.791667,LRU,looping
48,True,39,10,0,0.795918,LRU,looping
49,True,40,10,0,0.8,LRU,looping
50,True,41,10,0,0.803922,LRU,looping
51,True,42,10,0,0.807692,LRU,looping
52,True,43,10,0,0.811321,LRU,looping
53,True,44,10,0,0.814815,LRU,looping
54,True,45,10,0,0.818182,LRU,looping
55,True,46,10,0,0.821429,LRU,looping
56,True,47,10,0,0.824561,LRU,looping
57,True,48,10,0,0.827586,LRU,looping
58,True,49,10,0,0.830508,LRU,looping
59,True,50,10,0,0.833333,LRU,looping
60,True,51,10,0,0.836066,LRU,looping
61,True,52,10,0,0.83871,LRU,looping
62,True,53,10,0,0.84127,LRU,looping
63,True,54,10,0,0.84375,LRU,looping
64,True,55,10,0,0.846154,LRU,looping
65,True,56,10,0,0.848485,LRU,looping
66,True,57,10,0,0.850746,LRU,looping
67,True,58,10,0,0.852941,LRU,looping
68,True,59,10,0,0.855072,LRU,looping
69,True,60,10,0,0.857143,LRU,looping
70,True,61,10,0,0.859155,LRU,looping
71,True,62,10,0,0.861111,LRU,looping
72,True,63,10,0,0.863014,LRU,looping
73,True,64,10,0,0.864865,LRU,looping
74,True,65,10,0,0.866667,LRU,looping
75,True,66,10,0,0.868421,LRU,looping
76,True,67,10,0,0.87013,LRU,looping
77,True,68,10,0,0.871795,LRU,looping
78,True,69,10,0,0.873418,LRU,looping
79,True,70,10,0,0.875,LRU,looping
80,True,71,10,0,0.876543,LRU,looping
81,True,72,10,0,0.878049,LRU,looping
82,True,73,10,0,0.879518,LRU,looping
83,True,74,10,0,0.880952,LRU,looping
84,True,75,10,0,0.882353,LRU,looping
85,True,76,10,0,0.883721,LRU,looping
86,True,77,10,0,0.885057,LRU,looping
87,True,78,10,0,0.886364,LRU,looping
88,True,79,10,0,0.88764,LRU,looping
89,True,80,10,0,0.888889,LRU,looping
90,True,81,10,0,0.89011,LRU,looping
91,True,82,10,0,0.891304,LRU,looping
92,True,83,10,0,0.892473,LRU,looping
93,True,84,10,0,0.893617,LRU,looping
94,True,85,10,0,0.894737,LRU,looping
95,True,86,10,0,0.895833,LRU,looping
96,True,87,10,0,0.896907,LRU,looping
97,True,88,10,0,0.897959,LRU,looping
98,True,89,10,0,0.89899,LRU,looping
99,True,90,10,0,0.9,LRU,looping
100,True,91,10,0,0.90099,LRU,looping
101,True,92,10,0,0.901961,LRU,looping
102,True,93,10,0,0.902913,LRU,looping
103,True,94,10,0,0.903846,LRU,looping
104,True,95,10,0,0.904762,LRU,looping
105,True,96,10,0,0.90566,LRU,looping
106,True,97,10,0,0.906542,LRU,looping
107,True,98,10,0,0.907407,LRU,looping
108,True,99,10,0,0.908257,LRU,looping
109,True,100,10,0,0.909091,LRU,looping
110,True,101,10,0,0.90991,LRU,looping
111,True,102,10,0,0.910714,LRU,looping
112,True,103,10,0,0.911504,LRU,looping
113,True,104,10,0,0.912281,LRU,looping
114,True,105,10,0,0.913043,LRU,looping
115,True,106,10,0,0.913793,LRU,looping
116,True,107,10,0,0.91453,LRU,looping
117,True,108,10,0,0.915254,LRU,looping
118,True,109,10,0,0.915966,LRU,looping
119,True,110,10,0,0.916667,LRU,looping
120,True,111,10,0,0.917355,LRU,looping
121,True,112,10,0,0.918033,LRU,looping
122,True,113,10,0,0.918699,LRU,looping
123,True,114,10,0,0.919355,LRU,looping
124,True,115,10,0,0.92,LRU,looping
125,True,116,10,0,0.920635,LRU,looping
126,True,117,10,0,0.92126,LRU,looping
127,True,118,10,0,0.921875,LRU,looping
128,True,119,10,0,0.922481,LRU,looping
129,True,120,10,0,0.923077,LRU,looping
130,True,121,10,0,0.923664,LRU,looping
131,True,122,10,0,0.924242,LRU,looping
132,True,123,10,0,0.924812,LRU,looping
133,True,124,10,0,0.925373,LRU,looping
134,True,125,10,0,0.925926,LRU,looping
135,True,126,10,0,0.926471,LRU,looping
136,True,127,10,0,0.927007,LRU,looping
137,True,128,10,0,0.927536,LRU,looping
138,True,129,10,0,0.928058,LRU,looping
139,True,130,10,0,0.928571,LRU,looping
140,True,131,10,0,0.929078,LRU,looping
141,True,132,10,0,0.929577,LRU,looping
142,True,133,10,0,0.93007,LRU,looping
143,True,134,10,0,0.930556,LRU,looping
144,True,135,10,0,0.931034,LRU,looping
145,True,136,10,0,0.931507,LRU,looping
146,True,137,10,0,0.931973,LRU,looping
147,True,138,10,0,0.932432,LRU,looping
148,True,139,10,0,0.932886,LRU,looping
149,True,140,10,0,0.933333,LRU,looping
150,True,141,10,0,0.933775,LRU,looping
151,True,142,10,0,0.934211,LRU,looping
152,True,143,10,0,0.934641,LRU,looping
153,True,144,10,0,0.935065,LRU,looping
154,True,145,10,0,0.935484,LRU,looping
155,True,146,10,0,0.935897,LRU,looping
156,True,147,10,0,0.936306,LRU,looping
157,True,148,10,0,0.936709,LRU,looping
158,True,149,10,0,0.937107,LRU,looping
159,True,150,10,0,0.9375,LRU,looping
160,True,151,10,0,0.937888,LRU,looping
161,True,152,10,0,0.938272,LRU,looping
162,True,153,10,0,0.93865,LRU,looping
163,True,154,10,0,0.939024,LRU,looping
164,True,155,10,0,0.939394,LRU,looping
165,True,156,10,0,0.939759,LRU,looping
166,True,157,10,0,0.94012,LRU,looping
167,True,158,10,0,0.940476,LRU,looping
168,True,159,10,0,0.940828,LRU,looping
169,True,160,10,0,0.941176,LRU,looping
170,True,161,10,0,0.94152,LRU,looping
171,True,162,10,0,0.94186,LRU,looping
172,True,163,10,0,0.942197,LRU,looping
173,True,164,10,0,0.942529,LRU,looping
174,True,165,10,0,0.942857,LRU,looping
175,True,166,10,0,0.943182,LRU,looping
176,True,167,10,0,0.943503,LRU,looping
177,True,168,10,0,0.94382,LRU,looping
178,True,169,10,0,0.944134,LRU,looping
179,True,170,10,0,0.944444,LRU,looping
