step,hit,hits,misses,evictions,hit_rate,policy,workload
0,False,0,1,0,0.0,LRU,random
1,False,0,2,0,0.0,LRU,random
2,False,0,3,0,0.0,LRU,random
3,False,0,4,0,0.0,LRU,random
4,False,0,5,0,0.0,LRU,random
5,False,0,6,0,0.0,LRU,random
6,False,0,7,0,0.0,LRU,random
7,False,0,8,0,0.0,LRU,random
8,True,1,8,0,0.111111,LRU,random
9,False,1,9,0,0.1,LRU,random
10,False,1,10,0,0.090909,LRU,random
11,True,2,10,0,0.166667,LRU,random
12,False,2,11,0,0.153846,LRU,random
13,False,2,12,0,0.142857,LRU,random
14,False,2,13,0,0.133333,LRU,random
15,False,2,14,0,0.125,LRU,random
16,False,2,15,0,0.117647,LRU,random
17,True,3,15,0,0.166667,LRU,random
18,True,4,15,0,0.210526,LRU,random
19,False,4,16,0,0.2,LRU,random
20,False,4,17,0,0.190476,LRU,random
21,False,4,18,0,0.181818,LRU,random
22,False,4,19,0,0.173913,LRU,random
23,True,5,19,0,0.208333,LRU,random
24,False,5,20,0,0.2,LRU,random
25,False,5,21,0,0.192308,LRU,random
26,False,5,22,0,0.185185,LRU,random
27,False,5,23,0,0.178571,LRU,random
28,False,5,24,0,0.172414,LRU,random
29,True,6,24,0,0.2,LRU,random
30,False,6,25,0,0.193548,LRU,random
31,True,7,25,0,0.21875,LRU,random
32,False,7,26,0,0.212121,LRU,random
33,True,8,26,0,0.235294,LRU,random
34,True,9,26,0,0.257143,LRU,random
35,False,9,27,0,0.25,LRU,random
36,False,9,28,0,0.243243,LRU,random
37,False,9,29,0,0.236842,LRU,random
38,True,10,29,0,0.25641,LRU,random
39,True,11,29,0,0.275,LRU,random
40,False,11,30,0,0.268293,LRU,random
41,True,12,30,0,0.285714,LRU,random
42,False,12,31,0,0.27907,LRU,random
43,True,13,31,0,0.295455,LRU,random
44,True,14,31,0,0.311111,LRU,random
45,True,15,31,0,0.326087,LRU,random
46,True,16,31,0,0.340426,LRU,random
47,True,17,31,0,0.354167,LRU,random
48,False,17,32,0,0.346939,LRU,random
49,False,17,33,1,0.34,LRU,random
50,False,17,34,2,0.333333,LRU,random
51,False,17,35,3,0.326923,LRU,random
52,True,18,35,3,0.339623,LRU,random
53,False,18,36,4,0.333333,LRU,random
54,False,18,37,5,0.327273,LRU,random
55,False,18,38,6,0.321429,LRU,random
56,False,18,39,7,0.315789,LRU,random
57,False,18,40,8,0.310345,LRU,random
58,False,18,41,9,0.305085,LRU,random
59,True,19,41,9,0.316667,LRU,random
60,False,19,42,10,0.311475,LRU,random
61,False,19,43,11,0.306452,LRU,random
62,False,19,44,12,0.301587,LRU,random
63,False,19,45,13,0.296875,LRU,random
64,False,19,46,14,0.292308,LRU,random
65,False,19,47,15,0.287879,LRU,random
66,False,19,48,16,0.283582,LRU,random
67,False,19,49,17,0.279412,LRU,random
68,False,19,50,18,0.275362,LRU,random
69,False,19,51,19,0.271429,LRU,random
70,True,20,51,19,0.28169,LRU,random
71,False,20,52,20,0.277778,LRU,random
72,False,20,53,21,0.273973,LRU,random
73,False,20,54,22,0.27027,LRU,random
74,True,21,54,22,0.28,LRU,random
75,True,22,54,22,0.289474,LRU,random
76,True,23,54,22,0.298701,LRU,random
77,True,24,54,22,0.307692,LRU,random
78,True,25,54,22,0.316456,LRU,random
79,True,26,54,22,0.325,LRU,random
80,True,27,54,22,0.333333,LRU,random
81,False,27,55,23,0.329268,LRU,random
82,True,28,55,23,0.337349,LRU,random
83,False,28,56,24,0.333333,LRU,random
84,False,28,57,25,0.329412,LRU,random
85,True,29,57,25,0.337209,LRU,random
86,False,29,58,26,0.333333,LRU,random
87,False,29,59,27,0.329545,LRU,random
88,False,29,60,28,0.325843,LRU,random
89,False,29,61,29,0.322222,LRU,random
90,False,29,62,30,0.318681,LRU,random
91,False,29,63,31,0.315217,LRU,random
92,False,29,64,32,0.311828,LRU,random
93,False,29,65,33,0.308511,LRU,random
94,True,30,65,33,0.315789,LRU,random
95,False,30,66,34,0.3125,LRU,random
96,False,30,67,35,0.309278,LRU,random
97,False,30,68,36,0.306122,LRU,random
98,False,30,69,37,0.30303,LRU,random
99,True,31,69,37,0.31,LRU,random
100,False,31,70,38,0.306931,LRU,random
101,True,32,70,38,0.313725,LRU,random
102,True,33,70,38,0.320388,LRU,random
103,True,34,70,38,0.326923,LRU,random
104,False,34,71,39,0.32381,LRU,random
105,False,34,72,40,0.320755,LRU,random
106,False,34,73,41,0.317757,LRU,random
107,True,35,73,41,0.324074,LRU,random
108,False,35,74,42,0.321101,LRU,random
109,True,36,74,42,0.327273,LRU,random
110,False,36,75,43,0.324324,LRU,random
111,False,36,76,44,0.321429,LRU,random
112,True,37,76,44,0.327434,LRU,random
113,False,37,77,45,0.324561,LRU,random
114,False,37,78,46,0.321739,LRU,random
115,False,37,79,47,0.318966,LRU,random
116,True,38,79,47,0.324786,LRU,random
117,False,38,80,48,0.322034,LRU,random
118,False,38,81,49,0.319328,LRU,random
119,False,38,82,50,0.316667,LRU,random
120,False,38,83,51,0.31405,LRU,random
121,True,39,83,51,0.319672,LRU,random
122,True,40,83,51,0.325203,LRU,random
123,False,40,84,52,0.322581,LRU,random
124,False,40,85,53,0.32,LRU,random
125,False,40,86,54,0.31746,LRU,random
126,True,41,86,54,0.322835,LRU,random
127,False,41,87,55,0.320312,LRU,random
128,False,41,88,56,0.317829,LRU,random
129,False,41,89,57,0.315385,LRU,random
130,False,41,90,58,0.312977,LRU,random
131,True,42,90,58,0.318182,LRU,random
132,False,42,91,59,0.315789,LRU,random
133,True,43,91,59,0.320896,LRU,random
134,False,43,92,60,0.318519,LRU,random
135,True,44,92,60,0.323529,LRU,random
136,True,45,92,60,0.328467,LRU,random
137,False,45,93,61,0.326087,LRU,random
138,False,45,94,62,0.323741,LRU,random
139,True,46,94,62,0.328571,LRU,random
140,True,47,94,62,0.333333,LRU,random
141,False,47,95,63,0.330986,LRU,random
142,True,48,95,63,0.335664,LRU,random
143,True,49,95,63,0.340278,LRU,random
144,False,49,96,64,0.337931,LRU,random
145,True,50,96,64,0.342466,LRU,random
146,False,50,97,65,0.340136,LRU,random
147,False,50,98,66,0.337838,LRU,random
148,False,50,99,67,0.33557,LRU,random
149,False,50,100,68,0.333333,LRU,random
150,False,50,101,69,0.331126,LRU,random
151,False,50,102,70,0.328947,LRU,random
152,False,50,103,71,0.326797,LRU,random
153,False,50,104,72,0.324675,LRU,random
154,True,51,104,72,0.329032,LRU,random
155,False,51,105,73,0.326923,LRU,random
156,True,52,105,73,0.33121,LRU,random
157,False,52,106,74,0.329114,LRU,random
158,False,52,107,75,0.327044,LRU,random
159,True,53,107,75,0.33125,LRU,random
160,False,53,108,76,0.329193,LRU,random
161,False,53,109,77,0.32716,LRU,random
162,False,53,110,78,0.325153,LRU,random
163,False,53,111,79,0.323171,LRU,random
164,False,53,112,80,0.321212,LRU,random
165,True,54,112,80,0.325301,LRU,random
166,False,54,113,81,0.323353,LRU,random
167,True,55,113,81,0.327381,LRU,random
168,True,56,113,81,0.331361,LRU,random
169,True,57,113,81,0.335294,LRU,random
170,True,58,113,81,0.339181,LRU,random
171,False,58,114,82,0.337209,LRU,random
172,False,58,115,83,0.33526,LRU,random
173,False,58,116,84,0.333333,LRU,random
174,False,58,117,85,0.331429,LRU,random
175,True,59,117,85,0.335227,LRU,random
176,False,59,118,86,0.333333,LRU,random
177,False,59,119,87,0.331461,LRU,random
178,True,60,119,87,0.335196,LRU,random
179,False,60,120,88,0.333333,LRU,random
180,False,60,121,89,0.331492,LRU,random
181,True,61,121,89,0.335165,LRU,random
182,True,62,121,89,0.338798,LRU,random
