step,hit,hits,misses,evictions,hit_rate,policy,workload
0,False,0,1,0,0.0,MemAIPolicy,locality
1,False,0,2,0,0.0,MemAIPolicy,locality
2,False,0,3,0,0.0,MemAIPolicy,locality
3,False,0,4,0,0.0,MemAIPolicy,locality
4,False,0,5,0,0.0,MemAIPolicy,locality
5,False,0,6,0,0.0,MemAIPolicy,locality
6,False,0,7,0,0.0,MemAIPolicy,locality
7,True,1,7,0,0.125,MemAIPolicy,locality
8,True,2,7,0,0.222222,MemAIPolicy,locality
9,False,2,8,0,0.2,MemAIPolicy,locality
10,True,3,8,0,0.272727,MemAIPolicy,locality
11,False,3,9,0,0.25,MemAIPolicy,locality
12,False,3,10,0,0.230769,MemAIPolicy,locality
13,False,3,11,0,0.214286,MemAIPolicy,locality
14,False,3,12,0,0.2,MemAIPolicy,locality
15,False,3,13,0,0.1875,MemAIPolicy,locality
16,False,3,14,0,0.176471,MemAIPolicy,locality
17,False,3,15,0,0.166667,MemAIPolicy,locality
18,True,4,15,0,0.210526,MemAIPolicy,locality
19,True,5,15,0,0.25,MemAIPolicy,locality
20,False,5,16,0,0.238095,MemAIPolicy,locality
21,False,5,17,0,0.227273,MemAIPolicy,locality
22,False,5,18,0,0.217391,MemAIPolicy,locality
23,True,6,18,0,0.25,MemAIPolicy,locality
24,True,7,18,0,0.28,MemAIPolicy,locality
25,True,8,18,0,0.307692,MemAIPolicy,locality
26,False,8,19,0,0.296296,MemAIPolicy,locality
27,True,9,19,0,0.321429,MemAIPolicy,locality
28,True,10,19,0,0.344828,MemAIPolicy,locality
29,True,11,19,0,0.366667,MemAIPolicy,locality
30,False,11,20,0,0.354839,MemAIPolicy,locality
31,True,12,20,0,0.375,MemAIPolicy,locality
32,True,13,20,0,0.393939,MemAIPolicy,locality
33,True,14,20,0,0.411765,MemAIPolicy,locality
34,True,15,20,0,0.428571,MemAIPolicy,locality
35,True,16,20,0,0.444444,MemAIPolicy,locality
36,True,17,20,0,0.459459,MemAIPolicy,locality
37,False,17,21,0,0.447368,MemAIPolicy,locality
38,True,18,21,0,0.461538,MemAIPolicy,locality
39,False,18,22,0,0.45,MemAIPolicy,locality
40,True,19,22,0,0.463415,MemAIPolicy,locality
41,False,19,23,0,0.452381,MemAIPolicy,locality
42,False,19,24,0,0.44186,MemAIPolicy,locality
43,False,19,25,0,0.431818,MemAIPolicy,locality
44,True,20,25,0,0.444444,MemAIPolicy,locality
45,False,20,26,0,0.434783,MemAIPolicy,locality
46,True,21,26,0,0.446809,MemAIPolicy,locality
