step,hit,hits,misses,evictions,hit_rate,policy,workload
0,False,0,1,0,0.0,MemAIPolicy,random
1,False,0,2,0,0.0,MemAIPolicy,random
2,False,0,3,0,0.0,MemAIPolicy,random
3,False,0,4,0,0.0,MemAIPolicy,random
4,False,0,5,0,0.0,MemAIPolicy,random
5,False,0,6,0,0.0,MemAIPolicy,random
6,False,0,7,0,0.0,MemAIPolicy,random
7,False,0,8,0,0.0,MemAIPolicy,random
8,True,1,8,0,0.111111,MemAIPolicy,random
9,False,1,9,0,0.1,MemAIPolicy,random
10,False,1,10,0,0.090909,MemAIPolicy,random
11,True,2,10,0,0.166667,MemAIPolicy,random
12,False,2,11,0,0.153846,MemAIPolicy,random
13,False,2,12,0,0.142857,MemAIPolicy,random
14,False,2,13,0,0.133333,MemAIPolicy,random
15,False,2,14,0,0.125,MemAIPolicy,random
16,False,2,15,0,0.117647,MemAIPolicy,random
17,True,3,15,0,0.166667,MemAIPolicy,random
18,True,4,15,0,0.210526,MemAIPolicy,random
19,False,4,16,0,0.2,MemAIPolicy,random
20,False,4,17,0,0.190476,MemAIPolicy,random
21,False,4,18,0,0.181818,MemAIPolicy,random
22,False,4,19,0,0.173913,MemAIPolicy,random
23,True,5,19,0,0.208333,MemAIPolicy,random
24,False,5,20,0,0.2,MemAIPolicy,random
25,False,5,21,0,0.192308,MemAIPolicy,random
26,False,5,22,0,0.185185,MemAIPolicy,random
27,False,5,23,0,0.178571,MemAIPolicy,random
28,False,5,24,0,0.172414,MemAIPolicy,random
29,True,6,24,0,0.2,MemAIPolicy,random
30,False,6,25,0,0.193548,MemAIPolicy,random
31,True,7,25,0,0.21875,MemAIPolicy,random
32,False,7,26,0,0.212121,MemAIPolicy,random
33,True,8,26,0,0.235294,MemAIPolicy,random
34,True,9,26,0,0.257143,MemAIPolicy,random
35,False,9,27,0,0.25,MemAIPolicy,random
36,False,9,28,0,0.243243,MemAIPolicy,random
37,False,9,29,0,0.236842,MemAIPolicy,random
38,True,10,29,0,0.25641,MemAIPolicy,random
39,True,11,29,0,0.275,MemAIPolicy,random
40,False,11,30,0,0.268293,MemAIPolicy,random
41,True,12,30,0,0.285714,MemAIPolicy,random
42,False,12,31,0,0.27907,MemAIPolicy,random
43,True,13,31,0,0.295455,MemAIPolicy,random
44,True,14,31,0,0.311111,MemAIPolicy,random
45,True,15,31,0,0.326087,MemAIPolicy,random
46,True,16,31,0,0.340426,MemAIPolicy,random
47,True,17,31,0,0.354167,MemAIPolicy,random
48,False,17,32,0,0.346939,MemAIPolicy,random
49,False,17,33,1,0.34,MemAIPolicy,random
50,False,17,34,2,0.333333,MemAIPolicy,random
51,False,17,35,3,0.326923,MemAIPolicy,random
52,True,18,35,3,0.339623,MemAIPolicy,random
53,False,18,36,4,0.333333,MemAIPolicy,random
