step,hit,hits,misses,evictions,hit_rate,policy,workload
0,False,0,1,0,0.0,MemAIPolicy,sequential
1,False,0,2,0,0.0,MemAIPolicy,sequential
2,False,0,3,0,0.0,MemAIPolicy,sequential
3,False,0,4,0,0.0,MemAIPolicy,sequential
4,False,0,5,0,0.0,MemAIPolicy,sequential
5,False,0,6,0,0.0,MemAIPolicy,sequential
6,False,0,7,0,0.0,MemAIPolicy,sequential
7,False,0,8,0,0.0,MemAIPolicy,sequential
8,False,0,9,0,0.0,MemAIPolicy,sequential
9,False,0,10,0,0.0,MemAIPolicy,sequential
10,False,0,11,0,0.0,MemAIPolicy,sequential
11,False,0,12,0,0.0,MemAIPolicy,sequential
12,False,0,13,0,0.0,MemAIPolicy,sequential
13,False,0,14,0,0.0,MemAIPolicy,sequential
14,False,0,15,0,0.0,MemAIPolicy,sequential
15,False,0,16,0,0.0,MemAIPolicy,sequential
16,False,0,17,0,0.0,MemAIPolicy,sequential
17,False,0,18,0,0.0,MemAIPolicy,sequential
18,False,0,19,0,0.0,MemAIPolicy,sequential
19,False,0,20,0,0.0,MemAIPolicy,sequential
20,False,0,21,0,0.0,MemAIPolicy,sequential
21,False,0,22,0,0.0,MemAIPolicy,sequential
22,False,0,23,0,0.0,MemAIPolicy,sequential
23,False,0,24,0,0.0,MemAIPolicy,sequential
24,False,0,25,0,0.0,MemAIPolicy,sequential
25,False,0,26,0,0.0,MemAIPolicy,sequential
26,False,0,27,0,0.0,MemAIPolicy,sequential
27,False,0,28,0,0.0,MemAIPolicy,sequential
28,False,0,29,0,0.0,MemAIPolicy,sequential
29,False,0,30,0,0.0,MemAIPolicy,sequential
30,False,0,31,0,0.0,MemAIPolicy,sequential
31,False,0,32,0,0.0,MemAIPolicy,sequential
32,False,0,33,1,0.0,MemAIPolicy,sequential
33,False,0,34,2,0.0,MemAIPolicy,sequential
34,False,0,35,3,0.0,MemAIPolicy,sequential
35,False,0,36,4,0.0,MemAIPolicy,sequential
36,False,0,37,5,0.0,MemAIPolicy,sequential
37,False,0,38,6,0.0,MemAIPolicy,sequential
38,False,0,39,7,0.0,MemAIPolicy,sequential
39,False,0,40,8,0.0,MemAIPolicy,sequential
40,False,0,41,9,0.0,MemAIPolicy,sequential
41,False,0,42,10,0.0,MemAIPolicy,sequential
42,False,0,43,11,0.0,MemAIPolicy,sequential
43,False,0,44,12,0.0,MemAIPolicy,sequential
44,False,0,45,13,0.0,MemAIPolicy,sequential
45,False,0,46,14,0.0,MemAIPolicy,sequential
46,False,0,47,15,0.0,MemAIPolicy,sequential
47,False,0,48,16,0.0,MemAIPolicy,sequential
48,False,0,49,17,0.0,MemAIPolicy,sequential
49,False,0,50,18,0.0,MemAIPolicy,sequential
50,False,0,51,19,0.0,MemAIPolicy,sequential
51,False,0,52,20,0.0,MemAIPolicy,sequential
52,False,0,53,21,0.0,MemAIPolicy,sequential
53,False,0,54,22,0.0,MemAIPolicy,sequential
54,False,0,55,23,0.0,MemAIPolicy,sequential
55,False,0,56,24,0.0,MemAIPolicy,sequential
56,False,0,57,25,0.0,MemAIPolicy,sequential
57,False,0,58,26,0.0,MemAIPolicy,sequential
58,False,0,59,27,0.0,MemAIPolicy,sequential
59,False,0,60,28,0.0,MemAIPolicy,sequential
60,False,0,61,29,0.0,MemAIPolicy,sequential
61,False,0,62,30,0.0,MemAIPolicy,sequential
62,False,0,63,31,0.0,MemAIPolicy,sequential
63,False,0,64,32,0.0,MemAIPolicy,sequential
64,False,0,65,33,0.0,MemAIPolicy,sequential
65,False,0,66,34,0.0,MemAIPolicy,sequential
66,False,0,67,35,0.0,MemAIPolicy,sequential
67,False,0,68,36,0.0,MemAIPolicy,sequential
68,False,0,69,37,0.0,MemAIPolicy,sequential
69,False,0,70,38,0.0,MemAIPolicy,sequential
70,False,0,71,39,0.0,MemAIPolicy,sequential
71,False,0,72,40,0.0,MemAIPolicy,sequential
72,False,0,73,41,0.0,MemAIPolicy,sequential
73,False,0,74,42,0.0,MemAIPolicy,sequential
74,False,0,75,43,0.0,MemAIPolicy,sequential
75,False,0,76,44,0.0,MemAIPolicy,sequential
76,False,0,77,45,0.0,MemAIPolicy,sequential
77,False,0,78,46,0.0,MemAIPolicy,sequential
78,False,0,79,47,0.0,MemAIPolicy,sequential
79,False,0,80,48,0.0,MemAIPolicy,sequential
80,False,0,81,49,0.0,MemAIPolicy,sequential
81,False,0,82,50,0.0,MemAIPolicy,sequential
82,False,0,83,51,0.0,MemAIPolicy,sequential
83,False,0,84,52,0.0,MemAIPolicy,sequential
84,False,0,85,53,0.0,MemAIPolicy,sequential
85,False,0,86,54,0.0,MemAIPolicy,sequential
86,False,0,87,55,0.0,MemAIPolicy,sequential
87,False,0,88,56,0.0,MemAIPolicy,sequential
88,False,0,89,57,0.0,MemAIPolicy,sequential
89,False,0,90,58,0.0,MemAIPolicy,sequential
90,False,0,91,59,0.0,MemAIPolicy,sequential
91,False,0,92,60,0.0,MemAIPolicy,sequential
92,False,0,93,61,0.0,MemAIPolicy,sequential
93,False,0,94,62,0.0,MemAIPolicy,sequential
94,False,0,95,63,0.0,MemAIPolicy,sequential
95,False,0,96,64,0.0,MemAIPolicy,sequential
96,False,0,97,65,0.0,MemAIPolicy,sequential
97,False,0,98,66,0.0,MemAIPolicy,sequential
98,False,0,99,67,0.0,MemAIPolicy,sequential
99,False,0,100,68,0.0,MemAIPolicy,sequential
100,False,0,101,69,0.0,MemAIPolicy,sequential
101,True,1,101,69,0.009804,MemAIPolicy,sequential
102,True,2,101,69,0.019417,MemAIPolicy,sequential
103,True,3,101,69,0.028846,MemAIPolicy,sequential
104,True,4,101,69,0.038095,MemAIPolicy,sequential
105,True,5,101,69,0.04717,MemAIPolicy,sequential
106,True,6,101,69,0.056075,MemAIPolicy,sequential
107,True,7,101,69,0.064815,MemAIPolicy,sequential
108,True,8,101,69,0.073394,MemAIPolicy,sequential
109,True,9,101,69,0.081818,MemAIPolicy,sequential
110,True,10,101,69,0.09009,MemAIPolicy,sequential
111,True,11,101,69,0.098214,MemAIPolicy,sequential
112,True,12,101,69,0.106195,MemAIPolicy,sequential
113,True,13,101,69,0.114035,MemAIPolicy,sequential
114,True,14,101,69,0.121739,MemAIPolicy,sequential
115,True,15,101,69,0.12931,MemAIPolicy,sequential
116,True,16,101,69,0.136752,MemAIPolicy,sequential
117,True,17,101,69,0.144068,MemAIPolicy,sequential
118,True,18,101,69,0.151261,MemAIPolicy,sequential
119,True,19,101,69,0.158333,MemAIPolicy,sequential
120,True,20,101,69,0.165289,MemAIPolicy,sequential
121,True,21,101,69,0.172131,MemAIPolicy,sequential
122,True,22,101,69,0.178862,MemAIPolicy,sequential
123,True,23,101,69,0.185484,MemAIPolicy,sequential
124,True,24,101,69,0.192,MemAIPolicy,sequential
125,True,25,101,69,0.198413,MemAIPolicy,sequential
126,True,26,101,69,0.204724,MemAIPolicy,sequential
127,True,27,101,69,0.210938,MemAIPolicy,sequential
128,True,28,101,69,0.217054,MemAIPolicy,sequential
129,True,29,101,69,0.223077,MemAIPolicy,sequential
130,True,30,101,69,0.229008,MemAIPolicy,sequential
131,True,31,101,69,0.234848,MemAIPolicy,sequential
132,False,31,102,70,0.233083,MemAIPolicy,sequential
133,False,31,103,71,0.231343,MemAIPolicy,sequential
134,False,31,104,72,0.22963,MemAIPolicy,sequential
135,False,31,105,73,0.227941,MemAIPolicy,sequential
136,False,31,106,74,0.226277,MemAIPolicy,sequential
137,False,31,107,75,0.224638,MemAIPolicy,sequential
138,False,31,108,76,0.223022,MemAIPolicy,sequential
139,False,31,109,77,0.221429,MemAIPolicy,sequential
140,False,31,110,78,0.219858,MemAIPolicy,sequential
141,False,31,111,79,0.21831,MemAIPolicy,sequential
142,False,31,112,80,0.216783,MemAIPolicy,sequential
143,False,31,113,81,0.215278,MemAIPolicy,sequential
144,False,31,114,82,0.213793,MemAIPolicy,sequential
145,False,31,115,83,0.212329,MemAIPolicy,sequential
146,False,31,116,84,0.210884,MemAIPolicy,sequential
147,False,31,117,85,0.209459,MemAIPolicy,sequential
148,False,31,118,86,0.208054,MemAIPolicy,sequential
149,False,31,119,87,0.206667,MemAIPolicy,sequential
150,False,31,120,88,0.205298,MemAIPolicy,sequential
151,False,31,121,89,0.203947,MemAIPolicy,sequential
152,False,31,122,90,0.202614,MemAIPolicy,sequential
153,False,31,123,91,0.201299,MemAIPolicy,sequential
154,False,31,124,92,0.2,MemAIPolicy,sequential
155,False,31,125,93,0.198718,MemAIPolicy,sequential
156,False,31,126,94,0.197452,MemAIPolicy,sequential
157,False,31,127,95,0.196203,MemAIPolicy,sequential
158,False,31,128,96,0.194969,MemAIPolicy,sequential
159,False,31,129,97,0.19375,MemAIPolicy,sequential
160,False,31,130,98,0.192547,MemAIPolicy,sequential
161,False,31,131,99,0.191358,MemAIPolicy,sequential
162,False,31,132,100,0.190184,MemAIPolicy,sequential
163,False,31,133,101,0.189024,MemAIPolicy,sequential
164,False,31,134,102,0.187879,MemAIPolicy,sequential
165,False,31,135,103,0.186747,MemAIPolicy,sequential
166,False,31,136,104,0.185629,MemAIPolicy,sequential
167,False,31,137,105,0.184524,MemAIPolicy,sequential
168,False,31,138,106,0.183432,MemAIPolicy,sequential
169,False,31,139,107,0.182353,MemAIPolicy,sequential
170,False,31,140,108,0.181287,MemAIPolicy,sequential
171,False,31,141,109,0.180233,MemAIPolicy,sequential
172,False,31,142,110,0.179191,MemAIPolicy,sequential
173,False,31,143,111,0.178161,MemAIPolicy,sequential
174,False,31,144,112,0.177143,MemAIPolicy,sequential
175,False,31,145,113,0.176136,MemAIPolicy,sequential
176,False,31,146,114,0.175141,MemAIPolicy,sequential
177,False,31,147,115,0.174157,MemAIPolicy,sequential
178,False,31,148,116,0.173184,MemAIPolicy,sequential
179,False,31,149,117,0.172222,MemAIPolicy,sequential
180,False,31,150,118,0.171271,MemAIPolicy,sequential
181,False,31,151,119,0.17033,MemAIPolicy,sequential
182,False,31,152,120,0.169399,MemAIPolicy,sequential
183,False,31,153,121,0.168478,MemAIPolicy,sequential
184,False,31,154,122,0.167568,MemAIPolicy,sequential
185,False,31,155,123,0.166667,MemAIPolicy,sequential
186,False,31,156,124,0.165775,MemAIPolicy,sequential
187,False,31,157,125,0.164894,MemAIPolicy,sequential
188,False,31,158,126,0.164021,MemAIPolicy,sequential
189,False,31,159,127,0.163158,MemAIPolicy,sequential
190,False,31,160,128,0.162304,MemAIPolicy,sequential
191,False,31,161,129,0.161458,MemAIPolicy,sequential
192,False,31,162,130,0.160622,MemAIPolicy,sequential
193,False,31,163,131,0.159794,MemAIPolicy,sequential
194,False,31,164,132,0.158974,MemAIPolicy,sequential
195,False,31,165,133,0.158163,MemAIPolicy,sequential
196,False,31,166,134,0.15736,MemAIPolicy,sequential
197,False,31,167,135,0.156566,MemAIPolicy,sequential
198,False,31,168,136,0.155779,MemAIPolicy,sequential
199,False,31,169,137,0.155,MemAIPolicy,sequential
200,False,31,170,138,0.154229,MemAIPolicy,sequential
201,True,32,170,138,0.158416,MemAIPolicy,sequential
202,True,33,170,138,0.162562,MemAIPolicy,sequential
203,True,34,170,138,0.166667,MemAIPolicy,sequential
204,True,35,170,138,0.170732,MemAIPolicy,sequential
205,True,36,170,138,0.174757,MemAIPolicy,sequential
206,True,37,170,138,0.178744,MemAIPolicy,sequential
207,True,38,170,138,0.182692,MemAIPolicy,sequential
208,True,39,170,138,0.186603,MemAIPolicy,sequential
209,True,40,170,138,0.190476,MemAIPolicy,sequential
210,True,41,170,138,0.194313,MemAIPolicy,sequential
211,True,42,170,138,0.198113,MemAIPolicy,sequential
212,True,43,170,138,0.201878,MemAIPolicy,sequential
213,True,44,170,138,0.205607,MemAIPolicy,sequential
214,True,45,170,138,0.209302,MemAIPolicy,sequential
215,True,46,170,138,0.212963,MemAIPolicy,sequential
216,True,47,170,138,0.21659,MemAIPolicy,sequential
217,True,48,170,138,0.220183,MemAIPolicy,sequential
218,True,49,170,138,0.223744,MemAIPolicy,sequential
219,True,50,170,138,0.227273,MemAIPolicy,sequential
220,True,51,170,138,0.230769,MemAIPolicy,sequential
221,True,52,170,138,0.234234,MemAIPolicy,sequential
222,True,53,170,138,0.237668,MemAIPolicy,sequential
223,True,54,170,138,0.241071,MemAIPolicy,sequential
224,True,55,170,138,0.244444,MemAIPolicy,sequential
225,True,56,170,138,0.247788,MemAIPolicy,sequential
226,True,57,170,138,0.251101,MemAIPolicy,sequential
227,True,58,170,138,0.254386,MemAIPolicy,sequential
228,True,59,170,138,0.257642,MemAIPolicy,sequential
229,True,60,170,138,0.26087,MemAIPolicy,sequential
230,True,61,170,138,0.264069,MemAIPolicy,sequential
231,True,62,170,138,0.267241,MemAIPolicy,sequential
232,False,62,171,139,0.266094,MemAIPolicy,sequential
